sku;itemName;unitUpc;caseUpc;quantity;unitPrice;total
017056;Beatbox Blue Razzberry Malt 12x 500 ml Carton;00851133006762;00851133006779;1;33.84;33.84
011500;Bud Light 18 Pack (12 oz Cans);00018200001062;00018200532184;2;16.65;33.3
031100;Bud Light 20 Pack (12 oz Bottles);00018200001697;00018200530258;2;17.45;34.9
020710;Bud Light 3x 8 Pack (16 oz Cans);00018200001154;00018200535741;2;32.7;65.4
018306;Budweiser 15 Pack (25 oz Cans);00018200250002;00018200112515;1;33.8;33.8
011300;Budweiser 18 Pack (12 oz Cans);00018200000164;00018200112188;1;16.65;16.65
017700;Budweiser 2x 12 Pack (12 oz Cans);00018200000164;00018200112461;1;26.7;26.7
018700;Busch Beer 2x 12 Pack (12 oz Cans);00018200000515;00018200612466;1;21.5;21.5
024100;Busch Beer 4x 6 Pack (16 oz Cans);00018200000638;00018200610431;1;23.3;23.3
024300;Busch Light 4x 6 Pack (16 oz Cans);00018200004261;00018200860737;1;23.3;23.3
012600;Michelob Ultra 18 Pack (12 oz Cans);00018200003349;00018200967214;2;21.65;43.3
015200;Michelob Ultra 24 Pack (12 oz Cans);00018200003349;00018200967153;3;28.5;85.5
019700;Michelob Ultra 2x 12 Pack (12 oz Cans);00018200003349;00018200967313;4;31.6;126.4
013305;Michelob Ultra 2x 12 Pack (16 oz Aluminum Bottles);00018200006654;00018200283925;1;35.25;35.25
012065;Michelob Ultra 3x 8 Pack (16 oz Aluminum Bottles);00018200006654;00018200283147;1;39.95;39.95
015030;Michelob Ultra Lime 2x 12 Pack (12 oz Cans);00018200004490;00018200169847;1;33.1;33.1
